Date,Event,Pre Avg,Post Avg,% Change
2025-03-10,India retaliates with tariffs on U.S. electronics and agricultural products.,2354.41,2353.61,-0.03
2025-04-01,Trump raises tariffs to 25% on all Indian imports after India's retaliation.,2470.12,2416.37,-2.18
